# post-mediated xDR export — synthetic, generated by gen-postmed-xdr.py — all timestamps are UTC
REC_SEQ|MED_FILE_ID|SWITCH_ID|REC_TYPE|IMSI|MSISDN|OTHER_PARTY|CELL_ID|APN|START_AT|EVENT_DATE|DURATION_SEC|BYTES_UP|BYTES_DOWN|RATED_AMOUNT|CURRENCY|ROAM_FLAG|MED_STATUS|IMEI|DIRECTION
20260903-000037|MED-20260903-001|SGSN-CENTRAL-01|DATA|001190182975014|993047726996|N/A|27195-216|ims.test|2026-09-03 04:58:49|2026-09-03|424|2008396|72994341|1.3235|XTS|INTL|RATED|007050391447810|NA
20260903-000038|MED-20260903-001|MSC-NORTH-01|SMS|001190529206980|999346833248|991661432375|27218-227|NULL|2026-09-03 05:15:13|2026-09-03|0|||0.0620|XTS|INTL|RATED|004708171664940|MTC
20260903-000039|MED-20260903-001|MME-SOUTH-03|DATA|001030261839958|996710829364|N/A|47145-250|ims.test|2026-09-03 20:27:09|2026-09-03|7165|1908810|55483935|0.9174|XTS|HOME|RATED|008450669690820|NA
20260903-000040|MED-20260903-001|MSC-NORTH-01|VOICE|001060160866323|992547979762|995923189224|26776-009|NULL|2026-09-03 10:01:03|2026-09-03|2071|||7.0989|XTS|HOME|RATED|000231314270700|MOC
20260903-000041|MED-20260903-001|MSC-NORTH-01|SMS|001060430101339|997251492373|995919544249|01138-029|NULL|2026-09-03 17:34:54|2026-09-03|0|||0.0166|XTS|INTL|SUSPENSE|005103783082180|MTC
20260903-000042|MED-20260903-001|MSC-NORTH-02|VOICE|001060849015137|999242067613|998785648831|08686-122|NULL|2026-09-03 13:17:52|2026-09-03|2929|||8.5845|XTS|HOME|RATED|009160997903410|MOC
20260903-000043|MED-20260903-001|MSC-NORTH-02|VOICE|001030971563154|999616164682|995803619952|03833-144|NULL|2026-09-03 16:28:52|2026-09-03|683|||2.5626|XTS|HOME|RATED|005601765605930|MTC
20260903-000044|MED-20260903-001|MSC-NORTH-02|SMS|001190578942420|999724021922|995943285693|54068-120|NULL|2026-09-03 21:34:49|2026-09-03|0|||0.0342|XTS|INTL|RATED|000782308681470|MOC
20260903-000045|MED-20260903-001|SGSN-CENTRAL-01|DATA|001190589758155|991140296072|N/A|45416-040|internet.test|2026-09-03 06:47:04|2026-09-03|2508|3077030|2322111|0.0756|XTS|HOME|RATED|008740977604160|NA
20260903-000046|MED-20260903-001|MSC-NORTH-01|SMS|001030489421191|991416082235|994961096642|50209-201|NULL|2026-09-03 18:02:13|2026-09-03|0|||0.0395|XTS|INTL|RATED|002614002900050|MTC
20260903-000047|MED-20260903-001|MME-SOUTH-03|DATA|001190513792908|997051071977|N/A|52123-163|mms.test|2026-09-03 18:56:45|2026-09-03|6884|546317|21209280|0.3940|XTS|HOME|RATED|001067628854440|NA
20260903-000048|MED-20260903-001|MSC-NORTH-02|SMS|001060470339189|996284163100|992074868336|34426-211|NULL|2026-09-03 13:03:14|2026-09-03|0|||0.0732|XTS|INTL|RATED|008461183293660|MTC
20260903-000049|MED-20260903-001|MSC-NORTH-02|VOICE|001030122800240|992105972037|998628901134|29686-067|NULL|2026-09-03 13:14:58|2026-09-03|2204|||4.5756|XTS|NATIONAL|RATED|007760956881450|MOC
20260903-000050|MED-20260903-001|MSC-NORTH-01|SMS|001060877076625|998464181049|993338830223|23852-169|NULL|2026-09-03 04:56:41|2026-09-03|0|||0.0251|XTS|INTL|RATED|005623917509070|MOC
20260903-000051|MED-20260903-001|MME-SOUTH-03|DATA|001030498018705|999352170551|N/A|35281-063|internet.test|2026-09-03 19:07:12|2026-09-03|6626|4928853|27823602|0.4713|XTS|NATIONAL|RATED|006913256705680|NA
20260903-000052|MED-20260903-001|MSC-NORTH-01|SMS|001030774697488|998739484079|997378205315|56667-142|NULL|2026-09-03 00:34:12|2026-09-03|0|||0.0103|XTS|HOME|RATED|000100412711400|MTC
20260903-000053|MED-20260903-001|SGSN-CENTRAL-01|DATA|001190589758155|991140296072|N/A|47795-116|mms.test|2026-09-03 03:29:28|2026-09-03|5973|1267014|66789005|0.6136|XTS|HOME|RATED|008740977604160|NA
20260903-000054|MED-20260903-001|MSC-NORTH-01|VOICE|001030857468539|998999107484|994919985164|28559-096|NULL|2026-09-03 22:23:42|2026-09-03|3256|||17.1590|XTS|INTL|RATED|000465481305160|MTC
20260903-000055|MED-20260903-001|MSC-NORTH-01|SMS|001060828754868|993690604339|996043263268|37670-156|NULL|2026-09-03 05:12:48|2026-09-03|0|||0.0739|XTS|HOME|RATED|008739622842910|MTC
20260903-000056|MED-20260903-001|MME-SOUTH-03|DATA|001190487757226|999444982361|N/A|51009-138|mms.test|2026-09-03 13:42:47|2026-09-03|6132|701580|61599936|0.1668|XTS|INTL|RATED|009688088913810|NA
20260903-000057|MED-20260903-001|MSC-NORTH-02|VOICE|001190350824406|991643713661|992427701693|37245-195|NULL|2026-09-03 04:54:30|2026-09-03|1177|||5.7797|XTS|HOME|RATED|002022618847460|MOC
20260903-000058|MED-20260903-001|MSC-NORTH-02|VOICE|001190169112955|995923189224|995514007981|46821-253|NULL|2026-09-03 08:59:06|2026-09-03|2461|||6.9196|XTS|NATIONAL|RATED|001972117556340|MOC
20260903-000059|MED-20260903-001|MSC-NORTH-02|SMS|001190202181710|991765712921|995923189224|58207-091|NULL|2026-09-03 21:37:01|2026-09-03|0|||0.0751|XTS|HOME|RATED|000406851935850|MTC
20260903-000060|MED-20260903-001|MSC-NORTH-02|SMS|001060074586702|996840840162|997959174063|23473-241|NULL|2026-09-03 06:20:02|2026-09-03|0|||0.0257|XTS|HOME|RATED|002871642654040|MOC
20260903-000061|MED-20260903-001|MSC-NORTH-01|VOICE|001030614188299|991885999154|992037905500|18997-204|NULL|2026-09-03 18:49:43|2026-09-03|2105|||1.5908|XTS|HOME|RATED|000239085433910|MOC
20260903-000062|MED-20260903-001|MME-SOUTH-03|DATA|001030614188299|991885999154|N/A|25641-149|ims.test|2026-09-03 18:35:52|2026-09-03|2474|1713898|67086769|1.1824|XTS|HOME|RATED|000239085433910|NA
20260903-000063|MED-20260903-001|MSC-NORTH-02|VOICE|001060883644329|993587389777|998631373554|48893-110|NULL|2026-09-03 13:48:32|2026-09-03|3394|||19.1673|XTS|HOME|RATED|003114395414600|MTC
20260903-000064|MED-20260903-001|MSC-NORTH-01|VOICE|001060059855845|994919985164|998833460958|40711-062|NULL|2026-09-03 10:23:39|2026-09-03|3302|||19.2319|XTS|HOME|RATED|005365648479430|MTC
20260903-000065|MED-20260903-001|SGSN-CENTRAL-01|DATA|001030105404127|995803619952|N/A|44684-097|internet.test|2026-09-03 19:23:11|2026-09-03|4272|2125467|34309439|0.5103|XTS|INTL|RATED|004320451267060|NA
20260903-000066|MED-20260903-001|MSC-NORTH-01|VOICE|001060059855845|994919985164|999242067613|18048-093|NULL|2026-09-03 17:40:46|2026-09-03|2482|||12.6073|XTS|HOME|RATED|005365648479430|MOC
20260903-000067|MED-20260903-001|MSC-NORTH-01|VOICE|001190284162151|995943285693|993690604339|29971-226|NULL|2026-09-03 06:54:34|2026-09-03|1456|||4.5050|XTS|HOME|RATED|009939041591500|MOC
20260903-000068|MED-20260903-001|MSC-NORTH-01|SMS|001030828238830|991611975488|999346833248|64690-184|NULL|2026-09-03 05:57:18|2026-09-03|0|||0.0582|XTS|INTL|RATED|000678257334830|MTC
20260903-000069|MED-20260903-001|SGSN-CENTRAL-01|DATA|001060410332147|990035366464|N/A|38529-212|ims.test|2026-09-03 14:44:17|2026-09-03|4352|3001421|45418895|0.4325|XTS|HOME|RATED|001322734755030|NA
20260903-000070|MED-20260903-001|MSC-NORTH-02|VOICE|001060916258665|996663876371|999448545187|44096-114|NULL|2026-09-03 02:10:24|2026-09-03|2914|||8.9068|XTS|HOME|RATED|009751722009720|MTC
20260903-000071|MED-20260903-001|MME-SOUTH-03|DATA|001190465842456|994536808028|N/A|55493-044|mms.test|2026-09-03 03:35:15|2026-09-03|4538|855965|72582901|0.2624|XTS|HOME|RATED|001971979542370|NA
20260903-000072|MED-20260903-001|SGSN-CENTRAL-01|DATA|001190774607106|992900941360|N/A|29908-155|internet.test|2026-09-03 05:48:40|2026-09-03|450|2466498|17524348|0.2559|XTS|HOME|RATED|005985511759390|NA
20260903-000073|MED-20260903-001|MSC-NORTH-01|SMS|001060147327703|992949062724|996016197557|31843-227|NULL|2026-09-03 21:17:24|2026-09-03|0|||0.0259|XTS|HOME|RATED|007804492603500|MOC
20260903-000074|MED-20260903-001|MME-SOUTH-03|DATA|001060632913611|992074868336|N/A|28266-153|internet.test|2026-09-03 12:18:57|2026-09-03|247|1771132|34356484|0.1937|XTS|HOME|RATED|004893347183810|NA
20260903-000075|MED-20260903-001|MSC-NORTH-01|SMS|001030212629425|993338830223|997997637502|58336-103|NULL|2026-09-03 01:02:15|2026-09-03|0|||0.0799|XTS|INTL|RATED|001360099798930|MTC
20260903-000076|MED-20260903-001|MME-SOUTH-03|DATA|001060870771827|996249693969|N/A|36043-153|ims.test|2026-09-03 23:54:34|2026-09-03|1202|962589|26458491|0.0720|XTS|NATIONAL|RATED|007839388031690|NA
20260903-000077|MED-20260903-001|MSC-NORTH-02|SMS|001190674689167|992037905500|992250805395|16500-230|NULL|2026-09-03 15:54:45|2026-09-03|0|||0.0582|XTS|HOME|RATED|006898120800340|MTC
20260903-000078|MED-20260903-001|MSC-NORTH-01|VOICE|001060282524336|993458429484|994919985164|35631-167|NULL|2026-09-03 05:37:49|2026-09-03|452|||1.3990|XTS|HOME|RATED|008388771079920|MTC
20260903-000079|MED-20260903-001|MSC-NORTH-02|SMS|001030828238830|991611975488|996323876306|18952-142|NULL|2026-09-03 20:13:15|2026-09-03|0|||0.0248|XTS|INTL|RATED|000678257334830|MOC
20260903-000080|MED-20260903-001|MSC-NORTH-02|SMS|001060870771827|996249693969|999493923963|24800-223|NULL|2026-09-03 22:14:29|2026-09-03|0|||0.0169|XTS|HOME|RATED|007839388031690|MTC
20260903-000081|MED-20260903-001|MME-SOUTH-03|DATA|001030584926859|992194170638|N/A|08609-088|mms.test|2026-09-03 13:25:38|2026-09-03|1344|2910180|60964525|0.0712|XTS|HOME|RATED|006207688158530|NA
20260903-000082|MED-20260903-001|SGSN-CENTRAL-01|DATA|001060470339189|996284163100|N/A|54512-199|ims.test|2026-09-03 01:38:20|2026-09-03|6241|2058005|2254608|0.0363|XTS|HOME|RATED|008461183293660|NA
20260903-000083|MED-20260903-001|SGSN-CENTRAL-01|DATA|001060583876508|994700780002|N/A|22405-220|internet.test|2026-09-03 22:30:22|2026-09-03|4872|4157936|42651038|0.5969|XTS|NATIONAL|RATED|002406125182380|NA
20260903-000084|MED-20260903-001|MSC-NORTH-02|SMS|001030768246898|994470438935|991799787646|57523-121|NULL|2026-09-03 07:07:20|2026-09-03|0|||0.0550|XTS|NATIONAL|RATED|009628727659560|MTC
20260903-000085|MED-20260903-001|MSC-NORTH-01|VOICE|001030122800240|992105972037|992105160972|50736-218|NULL|2026-09-03 23:20:47|2026-09-03|2863|||8.7917|XTS|NATIONAL|RATED|007760956881450|MOC
20260903-000086|MED-20260903-001|MME-SOUTH-03|DATA|001060651578134|992104910705|N/A|32367-214|ims.test|2026-09-03 10:31:30|2026-09-03|4271|3909130|42053532|0.0502|XTS|HOME|RATED|009595917220470|NA
20260903-000087|MED-20260903-001|MME-SOUTH-03|DATA|001190249458577|991661432375|N/A|04690-190|internet.test|2026-09-03 16:05:08|2026-09-03|3284|1794004|77070854|1.1913|XTS|HOME|RATED|001902729986320|NA
20260903-000088|MED-20260903-001|MSC-NORTH-01|VOICE|001190455478418|992120775644|999346833248|45454-253|NULL|2026-09-03 10:08:43|2026-09-03|3446|||6.2129|XTS|HOME|RATED|001915626531910|MOC
20260903-000089|MED-20260903-001|MME-SOUTH-03|DATA|001190143710483|992105160972|N/A|09172-226|internet.test|2026-09-03 10:14:49|2026-09-03|4678|1430291|14143040|0.1287|XTS|NATIONAL|RATED|000236329962700|NA
20260903-000090|MED-20260903-001|MME-SOUTH-03|DATA|001190333710545|997997333824|N/A|39320-049|mms.test|2026-09-03 15:57:44|2026-09-03|2841|176517|77355356|0.5311|XTS|HOME|RATED|009696440956200|NA
20260903-000091|MED-20260903-001|MME-SOUTH-03|DATA|001030408836440|995570019260|N/A|38919-058|ims.test|2026-09-03 14:45:08|2026-09-03|3646|3383076|24533330|0.3328|XTS|NATIONAL|RATED|007554336296780|NA
20260903-000092|MED-20260903-001|MSC-NORTH-02|VOICE|001060160866323|992547979762|996323876306|08496-101|NULL|2026-09-03 02:41:07|2026-09-03|945|||0.8513|XTS|NATIONAL|RATED|000231314270700|MTC
20260903-000093|MED-20260903-001|MSC-NORTH-02|SMS|001060632913611|992074868336|998628901134|15012-253|NULL|2026-09-03 17:03:56|2026-09-03|0|||0.0348|XTS|HOME|RATED|004893347183810|MTC
20260903-000094|MED-20260903-001|MSC-NORTH-02|VOICE|001190345450372|995482451311|995923189224|45654-142|NULL|2026-09-03 00:16:41|2026-09-03|1915|||6.9821|XTS|HOME|RATED|004948278643090|MTC
20260903-000095|MED-20260903-001|MME-SOUTH-03|DATA|001190737813765|997959174063|N/A|17455-004|ims.test|2026-09-03 11:24:37|2026-09-03|3129|2445608|33472810|0.5492|XTS|HOME|RATED|004025224493930|NA
20260903-000096|MED-20260903-001|MSC-NORTH-02|SMS|001190356886398|996758769470|992949062724|05221-093|NULL|2026-09-03 05:14:39|2026-09-03|0|||0.0118|XTS|HOME|RATED|006424308459650|MTC
20260903-000097|MED-20260903-001|MSC-NORTH-02|VOICE|001030498018705|999352170551|992037905500|39046-157|NULL|2026-09-03 17:55:50|2026-09-03|1837|||1.3188|XTS|INTL|RATED|006913256705680|MOC
20260903-000098|MED-20260903-001|MSC-NORTH-01|SMS|001060351179813|994597418727|994919985164|42109-179|NULL|2026-09-03 15:12:00|2026-09-03|0|||0.0141|XTS|INTL|RATED|009485043007300|MOC
20260903-000099|MED-20260903-001|MSC-NORTH-01|SMS|001060412817548|992173139757|998785648831|33444-241|NULL|2026-09-03 00:50:08|2026-09-03|0|||0.0470|XTS|INTL|RATED|009853648237910|MTC
20260903-000100|MED-20260903-001|MSC-NORTH-01|VOICE|001060470339189|996284163100|999724021922|61381-068|NULL|2026-09-03 18:31:05|2026-09-03|734|||2.7053|XTS|INTL|RATED|008461183293660|MTC
20260903-000101|MED-20260903-001|MSC-NORTH-02|SMS|001060623545812|999801779626|990788370405|42163-032|NULL|2026-09-03 10:25:10|2026-09-03|0|||0.0228|XTS|INTL|RATED|007748461262650|MOC
20260903-000102|MED-20260903-001|MSC-NORTH-01|SMS|001060780345129|995452561109|999309017786|52377-154|NULL|2026-09-03 03:23:31|2026-09-03|0|||0.0218|XTS|INTL|SUSPENSE|000428312306340|MTC
20260903-000103|MED-20260903-001|MSC-NORTH-01|VOICE|001060651578134|992104910705|994245774834|48151-189|NULL|2026-09-03 18:45:45|2026-09-03|3281|||11.2753|XTS|HOME|RATED|009595917220470|MOC
20260903-000104|MED-20260903-001|SGSN-CENTRAL-01|DATA|001060169329902|997512039708|N/A|14594-092|ims.test|2026-09-03 14:42:56|2026-09-03|4615|790391|78436826|0.1156|XTS|HOME|RATED|009238560404010|NA
20260903-000105|MED-20260903-001|MSC-NORTH-02|SMS|001060445008592|990487239781|991765712921|35642-233|NULL|2026-09-03 05:15:08|2026-09-03|0||||XTS|HOME|UNRATED|005478829861160|MTC
20260903-000106|MED-20260903-001|MSC-NORTH-02|SMS|001030730012612|993976433400|999216047934|27863-153|NULL|2026-09-03 14:33:44|2026-09-03|0|||0.0284|XTS|HOME|RATED|004684387205960|MTC
20260903-000107|MED-20260903-001|MSC-NORTH-01|VOICE|001060438512270|995919544249|999444982361|46540-020|NULL|2026-09-03 07:19:36|2026-09-03|1641|||6.2465|XTS|HOME|RATED|007408591701380|MTC
20260903-000108|MED-20260903-001|MSC-NORTH-01|VOICE|001060964902230|999216047934|996043263268|12376-173|NULL|2026-09-03 09:45:35|2026-09-03|3434||||XTS|INTL|UNRATED|007118800705950|MTC
20260903-000109|MED-20260903-001|MSC-NORTH-01|VOICE|001030614188299|991885999154|998739484079|33191-132|NULL|2026-09-03 13:21:12|2026-09-03|2668|||5.3383|XTS|HOME|RATED|000239085433910|MOC
20260903-000110|MED-20260903-001|MSC-NORTH-01|SMS|001030122800240|992105972037|997997637502|34712-243|NULL|2026-09-03 17:02:47|2026-09-03|0||||XTS|HOME|UNRATED|007760956881450|MOC
20260903-000111|MED-20260903-001|MSC-NORTH-01|VOICE|001190139214640|993591368197|996710829364|40502-144|NULL|2026-09-03 22:51:43|2026-09-03|1499|||7.8156|XTS|NATIONAL|RATED|001523050353130|MOC
20260903-000112|MED-20260903-001|MME-SOUTH-03|DATA|001030370732453|994251405581|N/A|27008-205|ims.test|2026-09-03 15:55:11|2026-09-03|6826|2450405|71339904|0.6093|XTS|INTL|RATED|005477444028100|NA
20260903-000113|MED-20260903-001|MSC-NORTH-02|VOICE|001030565338793|995970764623|992074868336|35939-083|NULL|2026-09-03 13:50:53|2026-09-03|268|||1.1478|XTS|HOME|RATED|002994591135190|MOC
20260903-000114|MED-20260903-001|SGSN-CENTRAL-01|DATA|001190674689167|992037905500|N/A|52502-116|internet.test|2026-09-03 15:31:17|2026-09-03|7141|2604697|47700339|0.6216|XTS|INTL|RATED|006898120800340|NA
20260903-000115|MED-20260903-001|MSC-NORTH-01|VOICE|001190173322090|994476561441|994536808028|39184-113|NULL|2026-09-03 20:50:10|2026-09-03|252|||1.1800|XTS|HOME|RATED|000224162872560|MTC
20260903-000116|MED-20260903-001|MME-SOUTH-03|DATA|001030105404127|995803619952|N/A|03367-192|internet.test|2026-09-03 08:51:31|2026-09-03|2782|3426320|34810354|0.2203|XTS|HOME|RATED|004320451267060|NA
20260903-000117|MED-20260903-001|MSC-NORTH-02|VOICE|001190345450372|995482451311|992677394099|30691-028|NULL|2026-09-03 14:36:49|2026-09-03|3307|||13.8344|XTS|INTL|RATED|004948278643090|MOC
20260903-000118|MED-20260903-001|MSC-NORTH-02|VOICE|001060788617218|996016197557|992104910705|02492-114|NULL|2026-09-03 17:13:08|2026-09-03|554|||1.9918|XTS|HOME|RATED|006340766124990|MOC
20260903-000119|MED-20260903-001|MSC-NORTH-02|VOICE|001030015893792|992863836031|999448545187|39943-220|NULL|2026-09-03 11:46:43|2026-09-03|392|||0.8767|XTS|HOME|RATED|000049398976970|MOC
20260903-000120|MED-20260903-001|SGSN-CENTRAL-01|DATA|001190333710545|997997333824|N/A|50147-040|internet.test|2026-09-03 15:40:33|2026-09-03|5745|639258|12373181||XTS|HOME|UNRATED|009696440956200|NA
20260903-000121|MED-20260903-001|SGSN-CENTRAL-01|DATA|001190472993076|999923813805|N/A|49352-095|mms.test|2026-09-03 00:35:41|2026-09-03|5674|4691703|24277205|0.3593|XTS|HOME|RATED|004072451944760|NA
20260903-000122|MED-20260903-001|SGSN-CENTRAL-01|DATA|001030565338793|995970764623|N/A|51852-193|ims.test|2026-09-03 23:54:54|2026-09-03|5873|3254835|63412904|0.4338|XTS|INTL|RATED|002994591135190|NA
20260903-000123|MED-20260903-001|MSC-NORTH-02|SMS|001190629732583|993305991642|997997333824|16549-085|NULL|2026-09-03 06:47:34|2026-09-03|0|||0.0735|XTS|HOME|RATED|007096227055620|MTC
20260903-000124|MED-20260903-001|MSC-NORTH-01|VOICE|001030462989512|999119172479|996323876306|27490-124|NULL|2026-09-03 22:34:23|2026-09-03|2409|||13.4042|XTS|HOME|RATED|008378658779680|MOC
