# post-mediated xDR export — synthetic, generated by gen-postmed-xdr.py
REC_SEQ|MED_FILE_ID|SWITCH_ID|REC_TYPE|IMSI|MSISDN|OTHER_PARTY|CELL_ID|APN|START_AT|EVENT_DATE|DURATION_SEC|BYTES_UP|BYTES_DOWN|RATED_AMOUNT|CURRENCY|ROAM_FLAG|MED_STATUS
20260901-000011|MED-20260901-001|MSC-NORTH-02|SMS|001190719877840|994048441099|994057490901|17079-225|NULL|2026-09-01 00:41:16|2026-09-01|0|||0.0383|XTS|NATIONAL|RATED
20260901-000012|MED-20260901-001|MSC-NORTH-02|VOICE|001190977494867|994743389777|991102380011|21674-184|NULL|2026-09-01 19:15:52|2026-09-01|2000|||6.3323|XTS|HOME|RATED
20260901-000013|MED-20260901-001|MSC-NORTH-02|VOICE|001060370032226|995444175878|997664377619|50502-136|NULL|2026-09-01 12:41:35|2026-09-01|2559|||14.6236|XTS|HOME|RATED
20260901-000014|MED-20260901-001|SGSN-CENTRAL-01|DATA|001060969075707|994339544509|N/A|26278-091|mms.test|2026-09-01 09:25:34|2026-09-01|3722|1147369|69508284|1.0849|XTS|HOME|RATED
20260901-000015|MED-20260901-001|MSC-NORTH-01|SMS|001060029282429|998183738701|995415591677|49256-122|NULL|2026-09-01 19:34:22|2026-09-01|0|||0.0187|XTS|NATIONAL|RATED
20260901-000016|MED-20260901-001|MSC-NORTH-01|VOICE|001060822662599|991045329890|992975542265|02932-086|NULL|2026-09-01 11:27:12|2026-09-01|3264|||9.6307|XTS|HOME|RATED
20260901-000017|MED-20260901-001|MSC-NORTH-01|VOICE|001190928227690|997932074485|995252117119|30472-200|NULL|2026-09-01 10:28:06|2026-09-01|1851|||2.7401|XTS|NATIONAL|RATED
20260901-000018|MED-20260901-001|MSC-NORTH-02|VOICE|001030287279592|991032041999|996279005270|26679-226|NULL|2026-09-01 08:25:11|2026-09-01|2733|||9.6649|XTS|HOME|RATED
20260901-000019|MED-20260901-001|MSC-NORTH-02|VOICE|001060719553483|998327165052|992765602775|38959-003|NULL|2026-09-01 05:25:40|2026-09-01|2380|||13.3199|XTS|HOME|RATED
20260901-000020|MED-20260901-001|MME-SOUTH-03|DATA|001190073206840|997360994159|N/A|00112-014|internet.test|2026-09-01 13:55:57|2026-09-01|4100|1692431|993651||XTS|HOME|UNRATED
20260901-000021|MED-20260901-001|SGSN-CENTRAL-01|DATA|001190372171237|996106964159|N/A|41718-255|mms.test|2026-09-01 19:42:51|2026-09-01|5363|2097524|1133860|0.0542|XTS|NATIONAL|RATED
20260901-000022|MED-20260901-001|MSC-NORTH-02|VOICE|001190385988185|994518666878|995374130157|36049-180|NULL|2026-09-01 07:59:38|2026-09-01|2501|||3.4671|XTS|NATIONAL|RATED
20260901-000023|MED-20260901-001|SGSN-CENTRAL-01|DATA|001030773358051|996899160297|N/A|57684-155|mms.test|2026-09-01 21:10:06|2026-09-01|1766|2552584|52062603|0.4787|XTS|INTL|RATED
20260901-000024|MED-20260901-001|MME-SOUTH-03|DATA|001060956746832|995622487392|N/A|26071-012|ims.test|2026-09-01 09:52:29|2026-09-01|5726|2486169|9211042|0.1173|XTS|HOME|RATED
20260901-000025|MED-20260901-001|MSC-NORTH-02|SMS|001190196767587|999966056543|993485219188|02529-061|NULL|2026-09-01 10:25:57|2026-09-01|0|||0.0734|XTS|HOME|RATED
20260901-000026|MED-20260901-001|MSC-NORTH-01|VOICE|001060140486417|993435440741|993918526042|33598-166|NULL|2026-09-01 11:51:46|2026-09-01|2378|||4.3188|XTS|INTL|RATED
20260901-000027|MED-20260901-001|MSC-NORTH-02|VOICE|001190197982767|995608141240|991666800114|61785-195|NULL|2026-09-01 16:57:22|2026-09-01|489|||1.6543|XTS|HOME|RATED
20260901-000028|MED-20260901-001|MSC-NORTH-01|VOICE|001190268514923|993771425083|997108191790|37282-167|NULL|2026-09-01 01:07:06|2026-09-01|910|||4.8757|XTS|HOME|RATED
20260901-000029|MED-20260901-001|MSC-NORTH-02|VOICE|001060524715737|998091813018|992841152022|44678-178|NULL|2026-09-01 12:52:09|2026-09-01|1393|||2.5612|XTS|HOME|RATED
20260901-000030|MED-20260901-001|MSC-NORTH-02|VOICE|001060447753435|996842124396|997693528966|45824-007|NULL|2026-09-01 12:04:48|2026-09-01|1072|||0.7711|XTS|HOME|RATED
20260901-000031|MED-20260901-001|MSC-NORTH-02|VOICE|001190946395406|991337843906|995034209921|60876-087|NULL|2026-09-01 07:58:38|2026-09-01|610|||1.8989|XTS|NATIONAL|RATED
20260901-000032|MED-20260901-001|SGSN-CENTRAL-01|DATA|001030663269138|999633496688|N/A|56303-100|internet.test|2026-09-01 15:50:37|2026-09-01|7145|2721698|54612938|0.7997|XTS|HOME|RATED
20260901-000033|MED-20260901-001|SGSN-CENTRAL-01|DATA|001060003137736|997908399259|N/A|35195-019|ims.test|2026-09-01 04:43:57|2026-09-01|1000|2387376|19475476|0.3176|XTS|HOME|RATED
20260901-000034|MED-20260901-001|MSC-NORTH-02|SMS|001030401924573|997874116865|997170357390|64901-197|NULL|2026-09-01 21:32:42|2026-09-01|0|||0.0139|XTS|HOME|RATED
20260901-000035|MED-20260901-001|MME-SOUTH-03|DATA|001030765225865|991012145212|N/A|07778-146|mms.test|2026-09-01 18:53:59|2026-09-01|5757|3969305|55540381|0.2929|XTS|NATIONAL|SUSPENSE
20260901-000036|MED-20260901-001|MME-SOUTH-03|DATA|001030506274197|991382209302|N/A|24147-027|mms.test|2026-09-01 09:47:05|2026-09-01|568|1801118|75946011|0.9014|XTS|INTL|RATED
20260901-000037|MED-20260901-001|MSC-NORTH-02|VOICE|001060118641734|994134138323|991574500920|59815-094|NULL|2026-09-01 11:44:39|2026-09-01|1835|||4.2796|XTS|HOME|RATED
20260901-000038|MED-20260901-001|MME-SOUTH-03|DATA|001190225209143|996848135945|N/A|43651-192|ims.test|2026-09-01 18:27:49|2026-09-01|4163|3233733|37725254|0.5173|XTS|HOME|RATED
20260901-000039|MED-20260901-001|MSC-NORTH-01|VOICE|001060584239808|994434785231|997890658475|11976-189|NULL|2026-09-01 21:55:02|2026-09-01|1328|||3.3034|XTS|HOME|RATED
20260901-000040|MED-20260901-001|MSC-NORTH-02|SMS|001060303289982|996521629193|999079910015|34277-235|NULL|2026-09-01 15:02:45|2026-09-01|0|||0.0544|XTS|HOME|RATED
20260901-000041|MED-20260901-001|MSC-NORTH-01|VOICE|001060168520571|992314459043|996134836745|44746-115|NULL|2026-09-01 09:07:59|2026-09-01|2931|||2.5094|XTS|INTL|RATED
20260901-000042|MED-20260901-001|MSC-NORTH-02|VOICE|001190578162067|994606532404|994009989425|63437-057|NULL|2026-09-01 02:08:13|2026-09-01|841|||4.0906|XTS|HOME|RATED
20260901-000043|MED-20260901-001|MSC-NORTH-01|VOICE|001030735651191|996100724738|993855910647|46030-203|NULL|2026-09-01 04:10:57|2026-09-01|2844|||14.5319|XTS|INTL|RATED
20260901-000044|MED-20260901-001|MSC-NORTH-01|SMS|001190641713878|993558565719|992051703962|43166-230|NULL|2026-09-01 04:40:07|2026-09-01|0|||0.0359|XTS|HOME|RATED
20260901-000045|MED-20260901-001|MSC-NORTH-01|VOICE|001060875216302|995928639414|998352826064|54553-149|NULL|2026-09-01 21:32:33|2026-09-01|1913||||XTS|NATIONAL|UNRATED
20260901-000046|MED-20260901-001|MSC-NORTH-02|SMS|001030977729016|997764239815|998436833820|64981-234|NULL|2026-09-01 17:20:31|2026-09-01|0|||0.0281|XTS|HOME|RATED
20260901-000047|MED-20260901-001|SGSN-CENTRAL-01|DATA|001030786796361|995704371375|N/A|30688-012|ims.test|2026-09-01 11:08:10|2026-09-01|6945|1205729|32152140|0.4028|XTS|HOME|RATED
20260901-000048|MED-20260901-001|MSC-NORTH-02|SMS|001190504095532|997717453981|991452449466|62209-233|NULL|2026-09-01 11:18:36|2026-09-01|0|||0.0614|XTS|HOME|SUSPENSE
20260901-000049|MED-20260901-001|MSC-NORTH-02|VOICE|001190119659579|996707836913|995949108584|48301-215|NULL|2026-09-01 08:29:17|2026-09-01|3051|||4.7436|XTS|HOME|RATED
20260901-000050|MED-20260901-001|MSC-NORTH-01|VOICE|001060026742873|995514129267|993700817156|15824-189|NULL|2026-09-01 18:07:33|2026-09-01|2408|||10.6290|XTS|NATIONAL|RATED
20260901-000051|MED-20260901-001|MSC-NORTH-01|VOICE|001060112203135|991931693726|997304636489|13446-153|NULL|2026-09-01 07:54:05|2026-09-01|358|||0.2407|XTS|HOME|RATED
20260901-000052|MED-20260901-001|MME-SOUTH-03|DATA|001030280080356|990052095076|N/A|15220-037|ims.test|2026-09-01 15:45:33|2026-09-01|2258|3718564|22867277|0.2838|XTS|HOME|RATED
20260901-000053|MED-20260901-001|MSC-NORTH-02|VOICE|001030681326003|990579086206|998310960590|31740-231|NULL|2026-09-01 05:55:27|2026-09-01|2800|||6.4693|XTS|HOME|RATED
20260901-000054|MED-20260901-001|MSC-NORTH-01|VOICE|001030619145631|999138118195|990900673052|46143-103|NULL|2026-09-01 09:22:30|2026-09-01|722|||4.0482|XTS|NATIONAL|RATED
20260901-000055|MED-20260901-001|MME-SOUTH-03|DATA|001060472511380|997589767804|N/A|61894-049|mms.test|2026-09-01 20:38:17|2026-09-01|2195|2982566|50579766|0.9438|XTS|HOME|RATED
20260901-000056|MED-20260901-001|SGSN-CENTRAL-01|DATA|001030029706600|994533785261|N/A|52269-216|internet.test|2026-09-01 01:04:01|2026-09-01|5036|2769950|77102253|0.8544|XTS|HOME|RATED
20260901-000057|MED-20260901-001|MSC-NORTH-02|VOICE|001030425786516|990750322248|998292480528|14616-027|NULL|2026-09-01 04:36:44|2026-09-01|3432|||15.5266|XTS|HOME|RATED
20260901-000058|MED-20260901-001|MSC-NORTH-02|VOICE|001030860807127|992753911343|996565506265|05431-107|NULL|2026-09-01 19:32:27|2026-09-01|698|||0.2337|XTS|NATIONAL|RATED
20260901-000059|MED-20260901-001|MSC-NORTH-02|VOICE|001060379446605|991555951460|995303277229|43010-007|NULL|2026-09-01 23:00:25|2026-09-01|3418|||7.2983|XTS|HOME|RATED
20260901-000060|MED-20260901-001|MSC-NORTH-02|VOICE|001190729093765|993811627314|991872767022|17490-013|NULL|2026-09-01 16:31:15|2026-09-01|2009|||3.7227|XTS|HOME|RATED
20260901-000061|MED-20260901-001|MME-SOUTH-03|DATA|001060364687842|996761541977|N/A|13276-191|ims.test|2026-09-01 04:33:48|2026-09-01|4366|271251|13584181|0.1957|XTS|HOME|SUSPENSE
20260901-000062|MED-20260901-001|MSC-NORTH-02|SMS|001030349497892|990154499603|997183747335|12900-195|NULL|2026-09-01 02:55:19|2026-09-01|0|||0.0154|XTS|INTL|RATED
20260901-000063|MED-20260901-001|SGSN-CENTRAL-01|DATA|001060395269973|992386843604|N/A|54266-044|ims.test|2026-09-01 08:36:38|2026-09-01|2082|726662|78661736|0.2374|XTS|HOME|RATED
20260901-000064|MED-20260901-001|MSC-NORTH-01|SMS|001060836495094|995990609023|992704070911|53822-083|NULL|2026-09-01 06:05:23|2026-09-01|0||||XTS|HOME|UNRATED
20260901-000065|MED-20260901-001|MSC-NORTH-01|VOICE|001060152480869|998830824512|993380813838|28291-203|NULL|2026-09-01 22:14:05|2026-09-01|619|||1.3921|XTS|NATIONAL|RATED
20260901-000066|MED-20260901-001|SGSN-CENTRAL-01|DATA|001030109818889|990622685748|N/A|16321-007|ims.test|2026-09-01 11:24:57|2026-09-01|565|2269958|6321449|0.0383|XTS|NATIONAL|RATED
20260901-000067|MED-20260901-001|MSC-NORTH-01|SMS|001060820621362|990215289258|995344580576|38867-072|NULL|2026-09-01 15:32:51|2026-09-01|0|||0.0582|XTS|HOME|RATED
20260901-000068|MED-20260901-001|MSC-NORTH-02|VOICE|001030215557841|992156838247|995816805061|33379-252|NULL|2026-09-01 16:48:28|2026-09-01|941||||XTS|HOME|UNRATED
20260901-000069|MED-20260901-001|MME-SOUTH-03|DATA|001190515243159|996262799507|N/A|18169-022|mms.test|2026-09-01 19:59:58|2026-09-01|5155|2797681|26719402|0.0519|XTS|HOME|RATED
20260901-000070|MED-20260901-001|MSC-NORTH-02|VOICE|001190940885394|996948988642|991000568264|25404-062|NULL|2026-09-01 08:13:16|2026-09-01|2508|||11.5330|XTS|INTL|RATED
20260901-000071|MED-20260901-001|MSC-NORTH-02|VOICE|001060336468665|996325195030|990782197687|46721-094|NULL|2026-09-01 03:39:06|2026-09-01|1133|||0.5674|XTS|HOME|RATED
20260901-000072|MED-20260901-001|MSC-NORTH-02|SMS|001030285755954|995588881424|990174727906|21852-036|NULL|2026-09-01 17:59:22|2026-09-01|0|||0.0637|XTS|INTL|RATED
20260901-000073|MED-20260901-001|SGSN-CENTRAL-01|DATA|001030820309630|997318485959|N/A|42748-127|ims.test|2026-09-01 01:15:38|2026-09-01|4557|558090|61063477|0.4303|XTS|INTL|RATED
20260901-000074|MED-20260901-001|MSC-NORTH-02|VOICE|001060859161148|993332876876|990660032893|01713-226|NULL|2026-09-01 04:15:29|2026-09-01|457|||1.3264|XTS|NATIONAL|RATED
20260901-000075|MED-20260901-001|SGSN-CENTRAL-01|DATA|001030705554678|992429204566|N/A|03823-138|internet.test|2026-09-01 18:21:58|2026-09-01|5346|4271857|78475844|1.2387|XTS|HOME|RATED
20260901-000076|MED-20260901-001|SGSN-CENTRAL-01|DATA|001030873033387|990590006715|N/A|57767-131|internet.test|2026-09-01 18:00:49|2026-09-01|5769|3907878|75862851|0.1138|XTS|HOME|RATED
20260901-000077|MED-20260901-001|MSC-NORTH-01|VOICE|001060018895751|994642635667|996673067252|16561-038|NULL|2026-09-01 16:54:58|2026-09-01|3449|||4.8891|XTS|HOME|RATED
20260901-000078|MED-20260901-001|MSC-NORTH-02|VOICE|001030855039333|998979447923|998927313871|39504-092|NULL|2026-09-01 23:30:09|2026-09-01|1620|||2.2044|XTS|HOME|RATED
20260901-000079|MED-20260901-001|MSC-NORTH-02|VOICE|001190735951759|998022417298|991773836754|14553-087|NULL|2026-09-01 12:00:30|2026-09-01|2361|||4.7439|XTS|HOME|RATED
20260901-000080|MED-20260901-001|MSC-NORTH-02|VOICE|001060131982902|998926329104|990447247584|09415-131|NULL|2026-09-01 23:12:04|2026-09-01|3412|||5.9577|XTS|NATIONAL|RATED
20260901-000081|MED-20260901-001|SGSN-CENTRAL-01|DATA|001190381068001|994894714311|N/A|18199-003|mms.test|2026-09-01 21:15:30|2026-09-01|5031|1765134|65915917||XTS|NATIONAL|UNRATED
20260901-000082|MED-20260901-001|MSC-NORTH-02|SMS|001060649939673|997466665652|996923664651|48420-121|NULL|2026-09-01 05:34:46|2026-09-01|0|||0.0636|XTS|INTL|RATED
20260901-000083|MED-20260901-001|SGSN-CENTRAL-01|DATA|001030750829061|990028559944|N/A|31659-081|mms.test|2026-09-01 05:14:35|2026-09-01|6333|1248101|7647729|0.1461|XTS|HOME|RATED
20260901-000084|MED-20260901-001|MSC-NORTH-01|VOICE|001190707971884|995825326407|997694762735|35252-117|NULL|2026-09-01 17:15:50|2026-09-01|3469|||8.3509|XTS|INTL|RATED
20260901-000085|MED-20260901-001|MSC-NORTH-02|VOICE|001190167285958|991094728573|992477077404|33793-145|NULL|2026-09-01 04:35:26|2026-09-01|3532|||9.4099|XTS|HOME|RATED
20260901-000086|MED-20260901-001|MME-SOUTH-03|DATA|001060312477848|997442474774|N/A|02367-086|ims.test|2026-09-01 11:07:23|2026-09-01|2684|1456255|42416861|0.7850|XTS|INTL|RATED
20260901-000087|MED-20260901-001|MME-SOUTH-03|DATA|001190562421196|992901907005|N/A|47767-199|internet.test|2026-09-01 11:48:29|2026-09-01|1048|2352655|6821774|0.1204|XTS|INTL|RATED
20260901-000088|MED-20260901-001|SGSN-CENTRAL-01|DATA|001190353353051|995055817625|N/A|41450-007|mms.test|2026-09-01 23:11:47|2026-09-01|4825|942242|25118264|0.1953|XTS|HOME|RATED
20260901-000089|MED-20260901-001|MSC-NORTH-02|VOICE|001030961489398|999266201121|995137349110|08884-099|NULL|2026-09-01 21:18:13|2026-09-01|1612|||4.9613|XTS|HOME|RATED
20260901-000090|MED-20260901-001|MSC-NORTH-01|SMS|001030119413441|997669140310|998140783250|17120-106|NULL|2026-09-01 19:24:53|2026-09-01|0|||0.0214|XTS|HOME|RATED
20260901-000091|MED-20260901-001|SGSN-CENTRAL-01|DATA|001060357762185|992098916513|N/A|04533-179|mms.test|2026-09-01 06:02:08|2026-09-01|2390|4148873|73584689|0.4729|XTS|INTL|RATED
20260901-000092|MED-20260901-001|MME-SOUTH-03|DATA|001190319706589|995163705308|N/A|40616-061|internet.test|2026-09-01 20:45:14|2026-09-01|2563|3985762|53695942|0.1702|XTS|HOME|RATED
20260901-000093|MED-20260901-001|MSC-NORTH-01|SMS|001060330068064|991505601081|996484917769|24593-054|NULL|2026-09-01 19:31:59|2026-09-01|0|||0.0309|XTS|HOME|RATED
20260901-000094|MED-20260901-001|SGSN-CENTRAL-01|DATA|001030956905370|998028284976|N/A|49350-082|internet.test|2026-09-01 08:25:58|2026-09-01|2203|1274302|75314844|0.7259|XTS|HOME|RATED
20260901-000095|MED-20260901-001|SGSN-CENTRAL-01|DATA|001190211548533|993598212608|N/A|64753-235|internet.test|2026-09-01 21:54:49|2026-09-01|2811|2873674|37616670|0.4315|XTS|HOME|RATED
20260901-000096|MED-20260901-001|MSC-NORTH-01|VOICE|001190188113024|996418449228|997722147508|04774-002|NULL|2026-09-01 19:24:56|2026-09-01|2412|||12.5032|XTS|INTL|RATED
20260901-000097|MED-20260901-001|MME-SOUTH-03|DATA|001030277608437|994401106282|N/A|44057-093|internet.test|2026-09-01 19:43:54|2026-09-01|1691|3177491|12675336|0.1510|XTS|HOME|RATED
20260901-000098|MED-20260901-001|MSC-NORTH-02|VOICE|001190016953278|990307606974|992802238705|06504-059|NULL|2026-09-01 00:30:31|2026-09-01|2371|||10.8056|XTS|HOME|RATED
20260901-000099|MED-20260901-001|MSC-NORTH-02|VOICE|001030510843188|992691593733|995191833694|21697-145|NULL|2026-09-01 01:20:26|2026-09-01|536|||2.8707|XTS|HOME|RATED
20260901-000100|MED-20260901-001|MSC-NORTH-01|VOICE|001190449000072|996091231446|996669705716|64008-026|NULL|2026-09-01 06:40:13|2026-09-01|1017|||5.0597|XTS|HOME|SUSPENSE
20260901-000101|MED-20260901-001|MSC-NORTH-01|VOICE|001030076924636|991814294030|991953838656|35749-103|NULL|2026-09-01 04:23:47|2026-09-01|1548|||7.4192|XTS|HOME|RATED
20260901-000102|MED-20260901-001|MSC-NORTH-01|VOICE|001030676156933|996160451205|991135984041|62560-048|NULL|2026-09-01 07:56:23|2026-09-01|1589|||0.7522|XTS|HOME|RATED
20260901-000103|MED-20260901-001|MSC-NORTH-01|VOICE|001030089932649|994778298358|998113711604|62355-116|NULL|2026-09-01 15:54:50|2026-09-01|2951|||3.3902|XTS|HOME|SUSPENSE
20260901-000104|MED-20260901-001|SGSN-CENTRAL-01|DATA|001060766094875|990916246030|N/A|40990-196|ims.test|2026-09-01 14:06:40|2026-09-01|6237|2918946|16556574|0.2443|XTS|HOME|RATED
20260901-000105|MED-20260901-001|MSC-NORTH-01|SMS|001190166102640|994711057527|998230537060|08098-234|NULL|2026-09-01 21:01:10|2026-09-01|0|||0.0677|XTS|HOME|RATED
20260901-000106|MED-20260901-001|MSC-NORTH-01|VOICE|001030019559057|998609704451|993122555927|42753-011|NULL|2026-09-01 15:19:01|2026-09-01|2673|||12.3285|XTS|HOME|RATED
20260901-000107|MED-20260901-001|MSC-NORTH-02|VOICE|001190408792285|999578439984|997066595963|20543-199|NULL|2026-09-01 18:05:35|2026-09-01|1292|||2.2885|XTS|HOME|RATED
20260901-000108|MED-20260901-001|MSC-NORTH-02|VOICE|001190329278657|996407803181|991870947592|60866-030|NULL|2026-09-01 17:30:46|2026-09-01|40|||0.0539|XTS|HOME|RATED
20260901-000109|MED-20260901-001|MSC-NORTH-01|VOICE|001060778866873|994205094391|999771747245|49763-009|NULL|2026-09-01 08:04:18|2026-09-01|1453|||3.3051|XTS|NATIONAL|SUSPENSE
20260901-000110|MED-20260901-001|MME-SOUTH-03|DATA|001060635430656|993511104544|N/A|26276-106|mms.test|2026-09-01 04:29:30|2026-09-01|5918|3088809|48731444|0.6624|XTS|NATIONAL|RATED
20260901-000111|MED-20260901-001|MSC-NORTH-02|VOICE|001060048726927|999867155562|994307372296|00966-106|NULL|2026-09-01 00:08:13|2026-09-01|653|||0.2468|XTS|HOME|RATED
20260901-000112|MED-20260901-001|MSC-NORTH-02|VOICE|001190222538305|993609713094|993731030157|30835-118|NULL|2026-09-01 02:18:13|2026-09-01|3265|||15.0835|XTS|NATIONAL|RATED
20260901-000113|MED-20260901-001|MSC-NORTH-02|SMS|001190990758327|991780040829|998862145192|02601-027|NULL|2026-09-01 22:04:59|2026-09-01|0|||0.0255|XTS|NATIONAL|RATED
20260901-000114|MED-20260901-001|SGSN-CENTRAL-01|DATA|001060748626723|998374484700|N/A|25041-024|internet.test|2026-09-01 09:11:01|2026-09-01|3620|2516147|62082125|0.6770|XTS|HOME|RATED
20260901-000115|MED-20260901-001|MSC-NORTH-01|SMS|001060761388470|990610221612|996466131760|12457-099|NULL|2026-09-01 13:25:04|2026-09-01|0|||0.0358|XTS|INTL|RATED
20260901-000116|MED-20260901-001|MSC-NORTH-02|VOICE|001030058120797|999051038631|997053918816|34490-133|NULL|2026-09-01 22:30:51|2026-09-01|2520|||14.2227|XTS|INTL|RATED
20260901-000117|MED-20260901-001|MSC-NORTH-01|VOICE|001030487425645|999822273192|995239432426|05466-205|NULL|2026-09-01 22:31:30|2026-09-01|1024|||3.7350|XTS|HOME|RATED
20260901-000118|MED-20260901-001|SGSN-CENTRAL-01|DATA|001030924566505|998986331611|N/A|49785-027|internet.test|2026-09-01 07:20:50|2026-09-01|4402|1058546|59978033|0.1716|XTS|HOME|RATED
20260901-000119|MED-20260901-001|MSC-NORTH-01|SMS|001060204751412|996477120989|996664460053|45396-020|NULL|2026-09-01 02:47:21|2026-09-01|0|||0.0378|XTS|NATIONAL|RATED
20260901-000120|MED-20260901-001|MSC-NORTH-01|VOICE|001060141371000|998977724531|994293044914|65309-016|NULL|2026-09-01 04:28:52|2026-09-01|347||||XTS|HOME|UNRATED
20260901-000121|MED-20260901-001|SGSN-CENTRAL-01|DATA|001060040677719|994634555966|N/A|64104-088|internet.test|2026-09-01 18:12:24|2026-09-01|1949|1441333|22004194|0.0613|XTS|HOME|RATED
20260901-000122|MED-20260901-001|MSC-NORTH-02|VOICE|001190731510986|990480376122|992770846461|54626-212|NULL|2026-09-01 01:14:18|2026-09-01|836|||4.0271|XTS|HOME|RATED
20260901-000123|MED-20260901-001|MME-SOUTH-03|DATA|001030633097164|999523080233|N/A|10414-204|ims.test|2026-09-01 08:48:31|2026-09-01|604|358031|37877304|0.4283|XTS|HOME|RATED
20260901-000124|MED-20260901-001|MME-SOUTH-03|DATA|001190184703292|997564749080|N/A|58528-189|ims.test|2026-09-01 18:19:29|2026-09-01|7042|73721|6365150|0.1155|XTS|NATIONAL|RATED
20260901-000125|MED-20260901-001|MSC-NORTH-02|VOICE|001190710347467|998717748087|994635219557|23083-136|NULL|2026-09-01 01:50:06|2026-09-01|3218|||14.3003|XTS|HOME|RATED
20260901-000126|MED-20260901-001|MSC-NORTH-01|VOICE|001030236782447|992350281555|996249501129|33686-155|NULL|2026-09-01 20:59:29|2026-09-01|106|||0.0466|XTS|NATIONAL|SUSPENSE
20260901-000127|MED-20260901-001|MSC-NORTH-02|SMS|001060399729290|994527510068|991493118915|56093-228|NULL|2026-09-01 14:58:38|2026-09-01|0|||0.0253|XTS|INTL|RATED
20260901-000128|MED-20260901-001|SGSN-CENTRAL-01|DATA|001030043882995|996478684252|N/A|03737-131|internet.test|2026-09-01 18:03:41|2026-09-01|1242|1534046|33108104|0.1349|XTS|INTL|RATED
20260901-000129|MED-20260901-001|MSC-NORTH-01|VOICE|001190875709777|997051286113|994157451261|62425-005|NULL|2026-09-01 21:31:04|2026-09-01|119|||0.5340|XTS|NATIONAL|RATED
20260901-000130|MED-20260901-001|MSC-NORTH-01|VOICE|001190496965397|997857434162|999041825870|39440-230|NULL|2026-09-01 05:43:16|2026-09-01|331|||1.0456|XTS|HOME|RATED
20260901-000131|MED-20260901-001|MSC-NORTH-01|VOICE|001030342824469|991674536160|998055302250|50659-041|NULL|2026-09-01 22:31:46|2026-09-01|1198|||2.7589|XTS|HOME|RATED
20260901-000132|MED-20260901-001|MME-SOUTH-03|DATA|001060268845116|991232768469|N/A|24997-230|ims.test|2026-09-01 19:51:54|2026-09-01|1459|4600737|64180705|0.8678|XTS|HOME|RATED
20260901-000133|MED-20260901-001|MSC-NORTH-02|VOICE|001190875590054|999314870144|990195622557|42583-059|NULL|2026-09-01 02:30:54|2026-09-01|1717||||XTS|INTL|UNRATED
20260901-000134|MED-20260901-001|MME-SOUTH-03|DATA|001030718146886|992080516743|N/A|38924-167|mms.test|2026-09-01 13:37:08|2026-09-01|813|1927919|58567643|0.3630|XTS|HOME|RATED
20260901-000135|MED-20260901-001|MSC-NORTH-01|VOICE|001190605583427|993684346556|994120860544|50292-040|NULL|2026-09-01 09:31:39|2026-09-01|217|||0.3075|XTS|NATIONAL|RATED
